Device Details, Price, Ratings
Apple iPhone 6s (Gold, 32 GB), ₹24,799, 92,297
Apple iPhone 7 (Silver, 32 GB), ₹29,499, 92,023
Apple iPhone 7 (Black, 32 GB), ₹29,499, 92,023
